Elapsed Time (s),Pressure (PSI),Diameter [px]
0.1,1.0,166.0
0.2,21.0,164.0
0.3,2.0,163.33333333333334
0.4,21.0,163.0
0.5,5.0,162.8
0.6,0.4,162.0
0.7,0.52,162.2
0.8,0.4,162.2
0.9,0.63,162.2
1.0,0.52,162.2
1.1,0.52,162.2
1.2,0.52,162.0
1.3,0.46,162.0
1.4,0.57,161.8
1.5,0.57,161.8
1.6,0.46,161.6
1.7,0.4,161.6
1.8,0.34,162.2
1.9,0.57,162.4
2.0,0.46,163.2
2.1,0.63,163.4
2.2,0.4,164.2
2.3,0.46,164.4
2.4,0.4,164.4
2.5,0.46,163.6
2.6,0.52,163.6
2.7,0.46,162.8
2.8,0.52,162.0
2.9,0.46,162.0
3.0,0.34,162.2
3.1,0.52,162.2
3.2,0.46,162.2
3.3,0.46,162.2
3.4,0.46,162.2
3.5,0.52,162.0
3.6,0.46,162.8
3.7,0.63,163.8
3.8,0.63,163.8
3.9,0.46,164.4
4.0,0.46,164.2
4.1,0.52,164.2
4.2,0.46,164.0
4.3,0.52,164.8
4.4,0.46,165.0
4.5,0.57,165.2
4.6,0.4,165.0
4.7,0.46,164.2
4.8,0.34,164.2
4.9,0.46,163.2
5.0,0.46,163.2
5.1,0.57,162.4
5.2,0.57,162.4
5.3,0.52,162.4
5.4,0.57,162.6
5.5,0.46,163.6
5.6,0.52,164.8
5.7,0.4,165.0
5.8,0.46,165.0
5.9,0.52,165.2
6.0,0.46,165.2
6.1,0.46,165.2
6.2,0.63,166.0
6.3,0.57,166.2
6.4,0.52,167.0
6.5,0.52,167.0
6.6,0.4,166.2
6.7,0.46,165.4
6.8,0.57,165.4
6.9,0.46,165.4
7.0,0.46,165.4
7.1,0.57,166.2
7.2,0.57,166.2
7.3,0.46,165.4
7.4,0.57,164.4
7.5,0.52,164.2
7.6,0.46,163.2
7.7,0.57,163.2
7.8,0.4,163.8
7.9,0.52,164.6
8.0,0.52,164.0
8.1,0.57,165.0
8.2,0.57,165.0
8.3,0.46,166.0
8.4,0.57,166.2
8.5,0.34,166.0
8.6,0.4,165.2
8.7,0.4,165.2
8.8,0.52,164.4
8.9,0.46,165.2
9.0,0.57,167.8
9.1,0.57,170.2
9.2,0.46,173.4
9.3,0.52,175.8
9.4,0.46,176.6
9.5,0.46,175.0
9.6,0.46,173.4
9.7,0.4,170.2
9.8,0.57,167.0
9.9,0.52,167.0
10.0,0.57,167.8
10.1,0.46,168.6
10.2,0.57,170.2
10.3,0.4,171.8
10.4,0.46,170.2
10.5,0.52,168.6
10.6,0.57,167.8
10.7,0.46,166.2
10.8,0.46,164.6
10.9,0.52,163.8
11.0,0.46,164.6
11.1,0.46,165.4
11.2,0.57,167.0
11.3,0.46,167.8
11.4,0.4,168.6
11.5,0.57,168.6
11.6,0.46,167.8
11.7,0.52,167.0
11.8,0.52,167.0
11.9,0.57,167.0
12.0,0.57,167.0
12.1,0.69,167.0
12.2,0.57,167.0
12.3,0.52,167.0
12.4,0.57,167.0
12.5,0.57,167.0
12.6,0.52,167.0
12.7,0.57,167.0
12.8,0.52,167.0
12.9,0.4,167.0
13.0,0.52,167.0
13.1,0.57,167.0
13.2,0.4,166.2
13.3,0.52,166.2
13.4,0.46,166.2
13.5,0.46,165.8
13.6,0.57,165.8
13.7,0.46,166.0
13.8,0.63,165.6
13.9,0.46,165.6
14.0,0.57,166.0
14.1,0.46,166.0
14.2,0.46,166.6
14.3,0.4,167.0
14.4,0.4,167.0
14.5,0.52,167.0
14.6,0.52,167.0
14.7,0.46,167.0
14.8,0.46,167.0
14.9,0.46,167.0
15.0,0.52,167.0
15.1,0.4,167.0
15.2,0.4,167.0
15.3,0.52,167.0
15.4,0.57,167.0
15.5,0.57,167.0
15.6,0.57,167.0
15.7,0.46,167.0
15.8,0.57,167.0
15.9,0.57,167.0
16.0,0.63,167.0
16.1,0.46,166.6
16.2,0.57,166.2
16.3,0.57,166.2
16.4,0.52,166.2
16.5,0.46,166.2
16.6,0.46,166.6
16.7,0.4,167.0
16.8,799.0,167.0
